,,,,,,,,,WTeam,LTeam,WLoc
Sun Apr 30 2017,3:30 PM,Utah Jazz,104,Los Angeles Clippers,91,Box Score,,,Utah Jazz,Los Angeles Clippers,V
Mon May 1 2017,7:00 PM,Toronto Raptors,105,Cleveland Cavaliers,116,Box Score,,,Cleveland Cavaliers,Toronto Raptors,H
Mon May 1 2017,9:30 PM,Houston Rockets,126,San Antonio Spurs,99,Box Score,,,Houston Rockets,San Antonio Spurs,V
Tue May 2 2017,8:00 PM,Washington Wizards,119,Boston Celtics,129,Box Score,OT,,Boston Celtics,Washington Wizards,H
Tue May 2 2017,10:30 PM,Utah Jazz,94,Golden State Warriors,106,Box Score,,,Golden State Warriors,Utah Jazz,H
Wed May 3 2017,7:00 PM,Toronto Raptors,103,Cleveland Cavaliers,125,Box Score,,,Cleveland Cavaliers,Toronto Raptors,H
Wed May 3 2017,9:30 PM,Houston Rockets,96,San Antonio Spurs,121,Box Score,,,San Antonio Spurs,Houston Rockets,H
Thu May 4 2017,10:30 PM,Utah Jazz,104,Golden State Warriors,115,Box Score,,,Golden State Warriors,Utah Jazz,H
Thu May 4 2017,8:00 PM,Boston Celtics,89,Washington Wizards,116,Box Score,,,Washington Wizards,Boston Celtics,H
Fri May 5 2017,9:30 PM,San Antonio Spurs,103,Houston Rockets,92,Box Score,,,San Antonio Spurs,Houston Rockets,V
Fri May 5 2017,7:00 PM,Cleveland Cavaliers,115,Toronto Raptors,94,Box Score,,,Cleveland Cavaliers,Toronto Raptors,V
Sat May 6 2017,8:30 PM,Golden State Warriors,102,Utah Jazz,91,Box Score,,,Golden State Warriors,Utah Jazz,V
Sun May 7 2017,9:00 PM,San Antonio Spurs,104,Houston Rockets,125,Box Score,,,Houston Rockets,San Antonio Spurs,H
Sun May 7 2017,3:30 PM,Cleveland Cavaliers,109,Toronto Raptors,102,Box Score,,,Cleveland Cavaliers,Toronto Raptors,V
Sun May 7 2017,6:30 PM,Boston Celtics,102,Washington Wizards,121,Box Score,,,Washington Wizards,Boston Celtics,H
Mon May 8 2017,9:00 PM,Golden State Warriors,121,Utah Jazz,95,Box Score,,,Golden State Warriors,Utah Jazz,V
Tue May 9 2017,8:00 PM,Houston Rockets,107,San Antonio Spurs,110,Box Score,OT,,San Antonio Spurs,Houston Rockets,H
Wed May 10 2017,8:00 PM,Washington Wizards,101,Boston Celtics,123,Box Score,,,Boston Celtics,Washington Wizards,H
Thu May 11 2017,8:00 PM,San Antonio Spurs,114,Houston Rockets,75,Box Score,,,San Antonio Spurs,Houston Rockets,V
Fri May 12 2017,8:00 PM,Boston Celtics,91,Washington Wizards,92,Box Score,,,Washington Wizards,Boston Celtics,H
Sun May 14 2017,3:30 PM,San Antonio Spurs,111,Golden State Warriors,113,Box Score,,,Golden State Warriors,San Antonio Spurs,H
Mon May 15 2017,8:00 PM,Washington Wizards,105,Boston Celtics,115,Box Score,,,Boston Celtics,Washington Wizards,H
Tue May 16 2017,9:00 PM,San Antonio Spurs,100,Golden State Warriors,136,Box Score,,,Golden State Warriors,San Antonio Spurs,H
Wed May 17 2017,8:30 PM,Cleveland Cavaliers,117,Boston Celtics,104,Box Score,,,Cleveland Cavaliers,Boston Celtics,V
Fri May 19 2017,8:30 PM,Cleveland Cavaliers,130,Boston Celtics,86,Box Score,,,Cleveland Cavaliers,Boston Celtics,V
Sat May 20 2017,9:00 PM,Golden State Warriors,120,San Antonio Spurs,108,Box Score,,,Golden State Warriors,San Antonio Spurs,V
Sun May 21 2017,8:30 PM,Boston Celtics,111,Cleveland Cavaliers,108,Box Score,,,Boston Celtics,Cleveland Cavaliers,V
Mon May 22 2017,9:00 PM,Golden State Warriors,129,San Antonio Spurs,115,Box Score,,,Golden State Warriors,San Antonio Spurs,V
Tue May 23 2017,8:30 PM,Boston Celtics,99,Cleveland Cavaliers,112,Box Score,,,Cleveland Cavaliers,Boston Celtics,H
Thu May 25 2017,8:30 PM,Cleveland Cavaliers,135,Boston Celtics,102,Box Score,,,Cleveland Cavaliers,Boston Celtics,V
Thu Jun 1 2017,9:00 PM,Cleveland Cavaliers,91,Golden State Warriors,113,Box Score,,,Golden State Warriors,Cleveland Cavaliers,H
Sun Jun 4 2017,8:00 PM,Cleveland Cavaliers,113,Golden State Warriors,132,Box Score,,,Golden State Warriors,Cleveland Cavaliers,H
Wed Jun 7 2017,9:00 PM,Golden State Warriors,118,Cleveland Cavaliers,113,Box Score,,,Golden State Warriors,Cleveland Cavaliers,V
Fri Jun 9 2017,9:00 PM,Golden State Warriors,116,Cleveland Cavaliers,137,Box Score,,,Cleveland Cavaliers,Golden State Warriors,H
Mon Jun 12 2017,9:00 PM,Cleveland Cavaliers,120,Golden State Warriors,129,Box Score,,,Golden State Warriors,Cleveland Cavaliers,H
