b'win',b'lose',b'probability'
Toronto Raptors,Charlotte Hornets,0.511423457487
Oklahoma City Thunder,Los Angeles Clippers,0.706071872432
Utah Jazz,Orlando Magic,0.529456927272
Indiana Pacers,Philadelphia 76ers,0.878238923372
Portland Trail Blazers,Sacramento Kings,0.722716078404
San Antonio Spurs,Detroit Pistons,0.860216650185
Cleveland Cavaliers,Washington Wizards,0.726809264841
Atlanta Hawks,Philadelphia 76ers,0.942401822656
Chicago Bulls,Washington Wizards,0.587003145004
Detroit Pistons,Denver Nuggets,0.604704905777
San Antonio Spurs,Houston Rockets,0.760081535916
Indiana Pacers,Boston Celtics,0.538644632846
Miami Heat,Utah Jazz,0.687823892184
Memphis Grizzlies,Milwaukee Bucks,0.510449724642
Los Angeles Clippers,Minnesota Timberwolves,0.733227828859
New Orleans Pelicans,Los Angeles Lakers,0.753745107635
Phoenix Suns,Brooklyn Nets,0.636491465787
Toronto Raptors,New York Knicks,0.878248541307
Cleveland Cavaliers,Charlotte Hornets,0.772953019722
Golden State Warriors,Phoenix Suns,0.966978403562
Minnesota Timberwolves,Los Angeles Lakers,0.768256405548
Oklahoma City Thunder,Orlando Magic,0.874249173053
Portland Trail Blazers,Denver Nuggets,0.726523417008
Oklahoma City Thunder,Detroit Pistons,0.687059948094
Houston Rockets,Philadelphia 76ers,0.916330303092
Indiana Pacers,Orlando Magic,0.735592997105
Los Angeles Clippers,Brooklyn Nets,0.920720381335
Boston Celtics,New Orleans Pelicans,0.710226631816
Dallas Mavericks,New York Knicks,0.564540573399
San Antonio Spurs,Miami Heat,0.817128583807
Utah Jazz,Memphis Grizzlies,0.688810440649
Cleveland Cavaliers,Toronto Raptors,0.70006204649
Los Angeles Lakers,Brooklyn Nets,0.559351201444
Miami Heat,Atlanta Hawks,0.587509082369
Charlotte Hornets,Minnesota Timberwolves,0.696313215642
Portland Trail Blazers,Chicago Bulls,0.645507302025
Atlanta Hawks,Milwaukee Bucks,0.816462866666
Boston Celtics,Dallas Mavericks,0.702510592295
Denver Nuggets,Phoenix Suns,0.698282605156
Cleveland Cavaliers,Indiana Pacers,0.668223481624
